x,y,filename
15.462007,-9.328874,"mp-3441_[0, 0, 1].png"
-67.630264,-8.897508,"mp-760313_[0, 0, 1].png"
34.499866,-27.341373,"mp-2715290_[0, 0, 1].png"
-8.305088,-20.928001,"mp-1043569_[0, 0, 1].png"
-39.210335,-20.94359,"mp-2715816_[0, 0, 1].png"
35.460247,40.16946,"mp-1201156_[0, 0, 1].png"
3.7818458,-54.642452,"mp-863437_[0, 0, 1].png"
21.236269,-34.74366,"mp-21374_[0, 0, 1].png"
8.629985,-7.6314707,"mp-1206419_[0, 0, 1].png"
-8.944755,-34.76304,"mp-557923_[0, 0, 1].png"
-50.786037,30.528759,"mp-1073950_[0, 0, 1].png"
-64.62032,-5.0533953,"mp-1075644_[0, 0, 1].png"
-42.720917,20.175783,"mp-1209338_[0, 0, 1].png"
10.073968,56.08051,"mp-1019802_[0, 0, 1].png"
28.87401,-6.7188272,"mp-1025354_[0, 0, 1].png"
21.465294,-43.51879,"mp-6564_[0, 0, 1].png"
-17.246624,-43.480366,"mp-775164_[0, 0, 1].png"
-18.419313,-9.740401,"mp-1211939_[0, 0, 1].png"
36.443954,-20.890055,"mp-557024_[0, 0, 1].png"
-10.86441,19.156773,"mp-2713431_[0, 0, 1].png"
-14.951691,39.099873,"mp-559500_[0, 0, 1].png"
4.7643948,0.97413975,"mp-753012_[0, 0, 1].png"
-37.361412,3.6095142,"mp-2714382_[0, 0, 1].png"
7.342689,27.486685,"mp-1217602_[0, 0, 1].png"
-3.1690266,-51.3105,"mp-17382_[0, 0, 1].png"
23.459696,-40.933056,"mp-1017628_[0, 0, 1].png"
-6.374608,7.2754087,"mp-756651_[0, 0, 1].png"
32.512394,-3.2849534,"mp-850275_[0, 0, 1].png"
-62.821712,-14.098564,"mp-2714227_[0, 0, 1].png"
41.420544,-6.0572395,"mp-6655_[0, 0, 1].png"
48.1236,-13.40748,"mp-1314_[0, 0, 1].png"
-9.369433,23.438116,"mp-1218262_[0, 0, 1].png"
-32.428173,-36.736443,"mp-1233067_[0, 0, 1].png"
19.13926,-10.485802,"mp-1075040_[0, 0, 1].png"
27.421839,7.1887827,"mp-713_[0, 0, 1].png"
-49.63315,22.353779,"mp-12904_[0, 0, 1].png"
47.840527,17.31448,"mp-2713496_[0, 0, 1].png"
30.329725,-25.734829,"mp-2713553_[0, 0, 1].png"
-30.132872,-26.929226,"mp-1018737_[0, 0, 1].png"
48.693474,31.03817,"mp-2715168_[0, 0, 1].png"
-24.18135,51.119247,"mp-1207381_[0, 0, 1].png"
-18.2901,58.57054,"mp-677080_[0, 0, 1].png"
2.327146,2.5464401,"mp-852194_[0, 0, 1].png"
-2.144007,49.685093,"mp-554885_[0, 0, 1].png"
-31.021376,-34.73483,"mp-1046402_[0, 0, 1].png"
-39.168514,26.491102,"mp-1214457_[0, 0, 1].png"
-5.541545,-15.257028,"mp-758973_[0, 0, 1].png"
2.281609,-36.554165,"mp-1206424_[0, 0, 1].png"
21.208687,31.828648,"mp-2716127_[0, 0, 1].png"
0.31935096,25.151943,"mp-557_[0, 0, 1].png"
-8.622903,-29.647387,"mp-29403_[0, 0, 1].png"
-17.057884,-43.102135,"mp-557543_[0, 0, 1].png"
-32.706127,-6.3365145,"mp-1264900_[0, 0, 1].png"
6.9775896,-49.191536,"mp-961687_[0, 0, 1].png"
-0.025563756,-44.470486,"mp-1222440_[0, 0, 1].png"
24.046219,7.8298087,"mp-1074780_[0, 0, 1].png"
33.7968,-15.357211,"mp-2713410_[0, 0, 1].png"
-34.313572,-30.927202,"mp-1222227_[0, 0, 1].png"
52.877636,25.29299,"mp-1044564_[0, 0, 1].png"
-47.798374,24.35287,"mp-555076_[0, 0, 1].png"
-8.891439,10.856761,"mp-1009828_[0, 0, 1].png"
27.401106,-0.7066258,"mp-676361_[0, 0, 1].png"
18.837011,-22.514523,"mp-1221526_[0, 0, 1].png"
-0.47815698,-44.211243,"mp-1195855_[0, 0, 1].png"
-7.9687366,-31.03535,"mp-562302_[0, 0, 1].png"
0.9585668,43.248642,"mp-766094_[0, 0, 1].png"
-46.045696,-22.31985,"mp-1105701_[0, 0, 1].png"
-27.503592,41.229332,"mp-1102732_[0, 0, 1].png"
-17.277277,55.116676,"mp-31243_[0, 0, 1].png"
-1.925988,57.517147,"mp-1202224_[0, 0, 1].png"
17.875448,44.9187,"mp-634410_[0, 0, 1].png"
20.08151,-30.489769,"mp-1206699_[0, 0, 1].png"
38.14306,35.764114,"mp-2716549_[0, 0, 1].png"
-40.462696,33.93822,"mp-1223736_[0, 0, 1].png"
18.987255,41.32654,"mp-26181_[0, 0, 1].png"
0.8675721,-45.955452,"mp-2715537_[0, 0, 1].png"
18.204443,32.81738,"mp-14873_[0, 0, 1].png"
41.16424,-24.208471,"mp-978489_[0, 0, 1].png"
-4.9672866,42.52887,"mp-5677_[0, 0, 1].png"
